VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,09/04/2018 08:24:17 PM,09/04/2018 08:37:16 PM,5,2.51,1,N,163,246,1,11.5,0.5,0.5,2,0,0.3,14.8
2,09/04/2018 08:39:35 PM,09/04/2018 09:07:13 PM,6,7.05,1,N,246,181,1,23.5,0.5,0.5,7.64,5.76,0.3,38.2
2,09/04/2018 08:10:29 PM,09/04/2018 08:17:34 PM,1,1.2,1,N,107,144,1,6.5,0.5,0.5,1.56,0,0.3,9.36
2,09/04/2018 08:18:23 PM,09/04/2018 08:27:01 PM,1,1.64,1,N,144,137,1,8,0.5,0.5,2.32,0,0.3,11.62
2,09/04/2018 08:30:48 PM,09/04/2018 08:44:20 PM,1,2.95,1,N,233,75,1,12,0.5,0.5,2.66,0,0.3,15.96
2,09/04/2018 08:57:01 PM,09/04/2018 09:16:35 PM,1,3.95,1,N,162,231,1,15.5,0.5,0.5,3.36,0,0.3,20.16
2,09/04/2018 08:04:08 PM,09/04/2018 08:12:02 PM,1,1.69,1,N,237,142,1,8,0.5,0.5,1,0,0.3,10.3
2,09/04/2018 08:25:27 PM,09/04/2018 08:33:02 PM,1,1.65,1,N,230,237,2,7.5,0.5,0.5,0,0,0.3,8.8
2,09/04/2018 08:37:59 PM,09/04/2018 08:41:58 PM,1,0.65,1,N,263,237,1,4.5,0.5,0.5,1.16,0,0.3,6.96
2,09/04/2018 08:46:00 PM,09/04/2018 08:55:25 PM,1,1.41,1,N,263,229,1,8,0.5,0.5,1.86,0,0.3,11.16
1,09/04/2018 08:26:02 PM,09/04/2018 09:12:53 PM,1,20.8,1,N,132,81,2,57,0.5,0.5,0,5.76,0.3,64.06
1,09/04/2018 08:20:36 PM,09/04/2018 08:40:29 PM,1,3.2,1,N,263,234,1,15.5,0.5,0.5,2.52,0,0.3,19.32
